x,y,population_density,traffic_flow,competitor_count,is_commercial
5.717.723.520.483.220,5.523.380.134.555.020,9.377.471.573.777.990,16.615.614.483.070.500,4,0
5.174.463.517.550.410,5.050.747.083.228.210,467.965.900.914.178,1.943.192.649.398.340,0,0
43.042.741.032.099.000,4.388.108.836.874.360,5.119.395.699.220.180,17.668.716.828.155.100,0,0
3.169.465.877.911.190,7.203.732.127.322.020,37.354.602.778.101.200,6.750.270.601.050.370,1,0
43.459.596.085.871.100,444.479.977.977.791,9.484.660.334.474.760,175.024.955.026.892,5,1
7.738.796.557.301.560,25.629.237.536.921.700,14.157.019.292.446.600,45.127.912.810.640.700,0,0
6.019.234.310.151.310,1.904.134.960.249.100,25.996.907.809.328.300,13.411.883.176.084.100,1,0
892.523.289.954.846,669.953.490.859.218,1.100.662.643.998.870,13.715.669.143.314.400,0,0
4.433.800.143.791.870,4.015.440.253.398.720,39.361.694.806.858.700,1.987.053.456.872.230,0,0
607.089.578.718.754,8.058.911.691.968.540,19.471.616.721.909.900,14.004.570.505.308.000,0,0
63.130.755.309.198.800,7.924.960.612.992.880,10.320.987.909.717.900,10.566.871.535.125.200,1,0
5.916.971.623.063.250,19.148.961.490.811.900,3.195.223.734.536.280,13.726.923.069.766.000,3,0
7.026.337.730.855.160,3.862.363.952.990.890,5.126.397.019.656.350,6.429.547.479.338.070,1,0
2.374.334.683.748.060,4.848.587.397.161.030,3.902.739.715.178.500,6.194.466.516.347.670,2,0
5.123.637.775.457.900,3.549.951.158.139.410,7.520.108.700.995.100,17.993.704.846.941.400,4,0
10.422.480.280.834.700,32.071.216.498.429.300,14.753.870.339.067.500,4.864.368.639.344.830,1,1
3.845.113.276.448.120,9.639.160.120.731.880,847.427.884.819.306,14.470.243.023.750.600,0,0
4.876.670.686.212.640,6.415.796.812.433.940,7.960.870.438.985.350,1.875.241.044.620.330,5,1
6.522.242.595.454.720,2.343.295.536.738.820,5.447.121.829.645.960,9.789.212.551.876.340,0,0
9.505.310.525.862.030,4.301.759.084.443.130,5.457.547.914.746.400,7.203.896.594.864.210,1,0
6.006.510.665.483.550,8.750.086.997.439.700,14.588.375.219.053.400,14.670.878.587.497.800,0,0
7.435.939.161.765.590,30.145.618.641.066.700,28.865.111.112.442.900,5.897.862.935.360.680,3,0
50.626.605.949.520.200,9.455.634.477.438.820,14.454.192.939.153.600,20.477.217.715.227.700,0,0
6.341.040.313.763.310,7.583.847.715.899.170,3.919.547.941.253.590,1.070.259.354.221.950,2,0
7.093.221.613.377.340,6.060.138.319.360.810,12.056.066.860.022.900,6.301.139.380.390.210,1,0
25.439.158.084.184.600,5.703.125.078.265.030,39.968.533.793.161.900,5.335.493.747.290.660,0,0
36.185.309.320.513.800,5.357.655.960.740.790,7.195.670.466.402.540,8.817.456.135.350.300,0,0
47.249.335.500.651.300,14.049.900.979.551.700,21.902.053.843.827.900,1.905.183.492.909.540,1,0
4.564.874.550.238.370,6.225.493.962.131.130,8.134.273.472.467.270,4.033.759.110.680.760,0,1
14.002.409.755.331.700,20.782.384.145.883.500,4.921.676.245.037.010,4.741.833.114.969.380,0,0
2.768.143.077.913.050,5.040.700.797.484.240,6.238.339.472.523.530,5.983.828.596.190.580,2,1
9.715.326.909.010.500,54.488.168.602.939.300,22.226.429.192.776.800,619.764.602.928.811,0,0
33.134.700.710.305.000,2.835.071.902.709.390,3.575.809.623.667.130,9.313.065.572.145.180,0,0
4.820.410.581.120.820,9.484.251.555.414.920,8.766.115.334.529.770,20.023.312.752.760.700,0,0
19.609.771.273.839.200,8.424.641.068.355.750,13.627.214.058.068.200,514.516.758.481.544,1,0
6.107.800.710.757.680,7.223.735.076.327.980,4.372.205.041.816.020,12.062.025.816.392.900,2,0
28.068.321.551.597.400,77.993.866.409.409.000,5.119.383.328.118.280,4.172.817.218.939.020,0,0
20.699.257.843.842.600,10.613.001.930.901.900,8.149.545.905.394.980,5.318.186.262.593.190,0,0
5.165.726.284.459.790,4.927.813.458.649.550,9.953.879.533.639.000,2.059.006.012.356.180,1,1
5.505.799.160.420.820,16.071.334.919.098.500,11.209.915.553.255.500,4.891.739.620.402.540,0,0
7.664.032.649.225.320,978.265.463.529.474,19.738.297.355.360.700,4.465.227.440.270.790,0,0
21.906.880.910.185.700,15.852.023.402.740.900,9.497.676.359.239.450,5.754.446.448.845.270,1,0
3.672.136.250.082.110,48.746.783.546.397.300,9.914.787.428.087.630,49.169.955.345.742.200,1,0
10.802.575.413.069.100,3.641.210.568.415.050,15.507.268.135.508.900,6.692.658.652.927.340,0,1
3.388.606.493.387.510,63.938.642.145.409.700,5.761.903.407.207.410,10.327.683.163.086.400,2,1
8.025.856.795.798.120,1.290.364.088.894.240,6.575.500.389.266.820,6.113.654.149.588.210,1,0
57.204.864.336.930.000,4.303.164.280.423.900,8.884.040.428.300.000,17.328.709.614.265.300,4,0
5.126.677.259.564.160,27.470.503.280.714.300,54.382.638.487.286,1.858.996.066.796.030,3,0
29.348.882.320.812.100,8.877.515.246.716.880,9.124.827.137.613.510,7.441.380.916.178.010,0,0
9.317.537.194.328.160,4.058.571.213.469.500,6.935.945.242.765.980,5.377.669.408.769.330,0,0
3.970.150.412.371.910,9.137.274.940.064.590,13.898.351.730.808.800,14.432.894.316.615.400,1,0
870.927.667.957.715,8.329.941.385.530.000,7.516.536.618.484.710,5.495.587.291.415.620,0,0
6.170.665.161.178.010,29.757.071.644.081.500,459.606.561.590.889,13.012.388.763.503.400,1,0
1.138.383.934.766.010,7.892.906.546.771.040,5.476.964.441.283.110,7.709.535.579.807.500,1,0
3.452.231.428.016.920,3.121.356.033.874.750,2.686.615.697.786.840,9.451.706.039.659.060,0,0
5.074.119.387.178.080,9.668.655.502.933.930,5.620.200.212.543.280,20.895.191.290.932.300,0,0
8.742.225.246.851.750,5.265.949.425.897.890,1.842.283.659.180.560,45.426.593.852.200.500,0,0
4.935.465.803.401.180,30.328.102.606.544.500,636.242.283.763.607,2.075.943.911.312.270,4,0
7.022.587.660.316.640,3.625.832.125.946.770,4.702.326.176.196.320,7.879.187.598.760.360,0,0
9.928.168.389.990.700,6.640.535.346.049.730,-5.281.953.741.015.200,5.364.505.926.260.540,0,0
13.148.911.989.798.100,9.893.495.140.420.390,-19.771.937.672.506.000,6.686.121.247.236.110,0,0
2.747.315.255.195.190,39.291.945.150.692.400,6.424.311.891.529.660,5.301.925.150.957.070,0,0
3.945.760.755.976.460,6.549.071.231.478.590,5.625.451.869.700.010,1.311.774.962.600.400,4,1
4.218.281.785.388.310,44.273.592.770.645.800,9.248.743.908.151.650,16.263.243.009.912.900,4,1
41.102.107.526.554.500,9.489.162.181.887.150,885.827.602.172.816,1.597.729.594.543.830,1,0
9.076.110.025.565.540,24.599.974.030.679.500,9.543.590.224.144.580,51.831.300.252.329,2,0
7.140.326.444.668.560,5.320.868.239.380.110,5.508.735.243.805.640,7.803.998.713.102.870,1,0
6.079.052.140.907.030,482.356.208.582.753,7.993.518.355.524.110,1.271.852.403.302.500,6,1
3.093.727.178.627.820,7.028.664.440.501.010,39.249.864.760.643.000,6.297.260.937.641.450,6,0
8.237.903.842.212.940,6.801.023.195.242.050,6.440.826.967.801.020,5.387.472.495.591.930,1,0
955.060.511.484.989,19.378.913.002.335.400,5.101.225.283.126.030,49.232.976.983.478.800,0,0
8.211.982.825.502.260,21.456.482.009.284.900,7.957.726.558.647.370,5.629.125.674.445.720,0,0
15.651.051.914.729.000,7.381.507.548.416.890,24.653.462.840.242.900,49.726.581.516.964.100,0,0
636.401.370.183.407,18.913.869.632.674.000,22.082.398.796.909.200,1.057.670.772.603.840,0,0
51.135.381.442.100.700,57.349.176.389.097.600,5.074.227.050.684.500,49.256.948.702.463.100,0,0
25.760.722.033.372.100,2.152.438.205.009.530,20.278.275.319.509.100,5.823.650.474.610.320,0,0
5.952.470.034.777.160,8.616.249.500.839.780,-1.867.502.989.604.310,46.959.371.031.395.100,0,0
6.037.954.529.493.870,9.421.854.544.896.380,49.052.891.656.756,13.549.683.264.729.600,0,0
6.865.899.134.926.060,5.184.929.749.422.400,6.112.555.841.644.530,722.713.412.706.466,6,1
11.448.763.806.590.500,3.523.088.842.091.780,740.816.791.726.206,5.865.554.136.426.290,0,0
3.838.388.830.449.790,23.405.777.501.749.900,35.337.496.358.107.600,128.338.861.085.995,4,1
456.236.508.955.542,4.978.100.152.304.370,11.233.133.417.024.400,2.088.695.417.004.470,1,0
3.690.530.217.609.160,2.685.000.761.974.950,40.748.100.294.195.800,11.524.943.429.324.500,3,1
12.102.500.048.519.300,6.542.357.799.453.170,7.818.932.921.220.030,44.605.549.580.159.000,0,1
4.189.477.901.874.750,5.336.169.313.092.100,9.334.402.737.418.900,18.471.010.516.994.400,4,1
7.511.780.478.084.180,9.440.412.782.809.270,8.921.796.644.402.850,60.535.090.884.236,1,0
7.100.766.453.325.540,3.962.772.624.917.000,6.821.832.844.241.540,5.991.637.771.537.180,0,0
8.018.001.408.190.340,6.938.633.423.283.940,5.469.521.553.304.530,5.594.336.024.465.160,0,0
3.547.712.918.359.840,4.893.227.474.751.210,7.826.241.626.217.110,1.084.814.959.553.240,5,1
941.725.711.618.925,5.125.762.159.242.110,1.357.302.018.319.320,553.652.317.077.739,1,1
6.685.726.467.229.140,26.777.431.460.411.700,34.165.520.245.088.100,7.520.592.741.851.380,0,1
6.786.699.566.725.640,4.549.507.768.419.990,61.418.551.556.548.500,8.407.665.895.679.910,9,0
361.919.990.837.865,4.707.849.970.127.070,7.985.263.775.450.210,9.457.116.209.979.820,2,1
5.936.607.912.085.380,7.066.425.217.489.330,5.494.650.234.571.610,144.995.514.156.722,4,0
10.131.184.027.743.300,9.406.399.991.861.130,45.815.787.802.256.300,42.744.748.382.472.400,0,0
6.360.960.464.095.420,3.293.212.774.825.040,5.344.507.973.504.170,11.298.862.538.363.600,3,0
9.132.869.475.762.360,42.200.468.581.298.400,3.844.135.814.559.550,5.337.057.706.856.890,0,0
6.125.734.683.448.190,4.962.951.255.006.390,8.691.945.795.095.770,13.441.001.915.462.300,6,1
873.698.593.466.345,54.446.133.214.916.800,14.722.149.035.918.300,5.301.215.833.439.120,1,0
7.239.730.554.660.930,16.844.055.113.191.500,13.664.649.997.675.500,5.614.398.765.529.050,2,0
12.055.841.640.369.000,7.604.646.062.760.660,30.261.143.683.208.400,47.502.087.918.339.800,0,0
9.024.533.072.858.410,9.849.291.084.414.910,27.561.217.613.587.500,5.924.956.387.569.670,0,0
6.644.384.435.577.480,9.457.747.170.084.600,9.100.952.461.151.330,6.069.099.342.553.220,0,0
5.339.674.725.477.630,1.971.060.388.236.520,30.002.895.346.684.600,18.012.362.417.494.700,1,0
14.213.712.379.345.700,8.753.632.399.007.600,3.367.815.001.341.970,34.939.138.160.661.900,0,0
11.706.610.730.904.000,7.044.936.364.116.840,3.131.311.685.529.710,42.732.103.041.722.600,0,0
422.034.260.127.639,45.384.656.380.691.100,9.293.268.155.839.260,1.711.386.403.888.230,3,1
29.504.070.765.415.600,540.610.994.324.729,5.971.574.214.509.050,8.050.967.263.381.350,1,0
486.000.493.797.603,849.600.174.982.458,2.117.993.594.892.460,18.929.016.340.817.200,0,0
5.771.998.867.345.500,4.801.349.396.383.730,9.465.522.191.679.600,164.419.282.626.726,6,1
4.373.907.230.894.730,37.320.736.910.512.600,7.264.213.822.265.430,6.834.883.865.399.530,0,0
12.300.329.512.374.500,4.932.474.930.259.850,15.632.122.600.793.200,5.427.610.006.781.170,0,0
5.586.423.964.504.250,5.791.298.040.350.490,8.820.658.788.567.950,1.905.186.617.140.500,8,1
34.316.735.317.265.800,18.907.765.377.834.800,21.517.148.888.800.600,10.383.887.150.559.400,2,0
729.173.487.549.448,9.009.077.302.669.900,8.471.588.531.827.180,5.175.285.142.723.790,0,0
6.522.916.485.919.390,6.741.869.488.296.130,5.011.212.613.842.740,9.514.017.066.346.720,3,0
8.456.043.629.899.060,63.326.891.733.748.800,1.682.447.414.933.220,50.729.870.071.559.100,1,0
6.924.928.266.692.250,9.949.622.618.063.810,14.379.916.190.897.600,7.456.391.546.207.850,0,0
4.299.310.773.901.480,6.041.739.381.725.910,849.363.571.327.877,17.651.231.271.868.800,4,0
6.729.666.223.944.320,12.096.066.223.849.200,9.137.633.659.628.910,8.769.479.845.772.300,0,0
27.538.117.425.541.800,7.869.767.519.539.900,7.500.924.591.989.780,3.267.461.995.778.120,1,0
3.063.134.987.782.120,5.273.108.956.423.930,62.341.503.358.967.900,5.985.821.609.207.800,3,0
7.889.851.599.207.930,402.785.534.046.495,32.459.434.483.817.700,3.043.103.753.809.120,1,1
4.464.195.164.015.820,5.888.102.701.562.230,8.782.935.269.574.970,18.169.613.136.208.900,3,1
7.983.803.405.183.520,892.221.680.572.386,7.555.989.465.493.940,5.415.396.345.303.950,1,0
8.224.223.736.682.780,4.309.830.628.472.580,26.728.770.300.109.600,5.366.154.896.374.000,1,1
8.575.623.376.612.830,174.786.715.045.158,5.206.124.769.786.220,4.066.181.683.100.580,0,0
9.166.352.358.412.070,9.871.000.859.241.160,3.714.898.660.970.290,5.676.695.194.037.970,0,0
43.098.522.051.329.600,5.611.502.124.351.740,9.061.715.275.197.320,17.537.506.022.854.800,5,1
31.886.681.832.113.800,6.874.368.609.408.670,4.313.703.129.038.350,6.653.209.122.091.350,1,0
5.821.987.465.941.130,32.541.828.068.260.700,6.372.778.112.940.700,14.233.691.761.267.000,3,1
37.117.242.343.762.700,9.473.891.477.934.410,10.149.905.882.297.300,1.154.173.778.804.000,0,0
601.074.166.800.233,9.758.708.627.835.360,5.218.060.762.315.670,1.579.201.865.314.880,0,0
7.055.858.626.438.240,2.862.590.353.831.830,31.547.524.590.072.800,8.512.361.913.288.190,0,0
6.884.050.184.921.360,4.238.081.851.735.740,5.742.069.084.052.120,8.106.107.266.427.120,6,1
3.745.528.870.201.210,649.863.921.702.575,5.904.048.484.376.620,11.099.160.693.433.600,5,1
1.668.602.016.987.520,24.697.297.686.111.200,-2.693.070.983.408.800,5.945.206.657.041.540,0,0
4.305.293.384.622.070,810.259.130.517.287,25.624.707.016.857.100,1.633.156.255.145.890,2,0
14.259.414.408.190.800,5.365.781.900.286.200,19.396.891.353.151.500,42.577.437.721.505.700,1,0
8.900.970.351.838.080,27.821.718.706.882.200,8.379.153.352.773.760,28.634.742.828.862.700,0,1
3.458.774.607.378.570,6.160.798.529.246.920,5.911.593.281.426.740,9.676.264.419.689.200,0,0
15.445.974.722.332.300,16.249.841.547.444.100,-16.538.430.881.273.000,4.408.449.976.700.210,0,0
25.447.759.905.750.800,8.950.338.588.534.360,5.575.498.580.379.630,5.096.623.549.277.360,0,0
6.458.223.862.864.840,6.860.242.239.358.910,5.299.924.114.531.840,7.880.832.556.828.610,4,1
6.369.023.174.547.430,24.990.172.163.688.900,3.753.614.470.498.690,11.046.189.330.319.900,1,0
34.060.416.658.129.100,6.560.076.494.502.950,12.603.710.150.296.400,6.779.872.377.876.070,1,0
7.171.188.884.765.100,6.906.153.123.866.360,3.479.507.922.188.020,6.089.499.604.991.000,0,0
409.628.894.895.232,5.724.077.259.677.650,9.023.016.066.387.810,15.493.115.478.092.100,1,1
3.112.174.950.633.930,404.519.524.458.235,5.425.714.981.544.500,7.246.000.511.179.100,2,1
6.771.206.397.350.090,36.361.144.919.006.300,5.426.005.140.595.250,8.687.813.195.559.940,4,0
6.057.792.494.526.900,2.168.142.759.291.080,28.087.154.104.192.000,1.259.466.847.118.370,2,0
36.459.372.819.754,6.696.112.565.375.170,5.554.417.693.584.410,11.069.662.987.163.000,5,0
2.178.925.542.549.900,9.706.680.277.938.700,3.477.781.469.216.760,6.075.274.377.271.690,0,0
9.880.359.661.555.910,17.571.524.583.682.500,9.040.302.987.578.270,1.905.811.698.909.940,0,0
4.540.016.211.961.140,5.971.166.200.155.030,8.870.065.954.980.930,18.046.944.535.895.600,8,1
6.882.742.357.802.370,4.241.850.557.459.760,6.005.076.737.074.580,7.526.329.571.396.880,5,1
14.055.296.757.836.000,44.668.872.174.466.400,1.762.712.409.307.190,482.717.577.237.978,0,0
4.855.896.996.593.970,2.541.472.801.278.140,4.515.325.991.365.770,213.021.649.931.902,3,0
27.536.719.869.465.400,825.134.875.661.419,407.076.788.645.341,38.763.121.289.197.200,0,0
50.545.511.791.044.900,4.852.556.041.472.410,9.773.030.625.211.020,1.935.653.861.895.550,3,1
9.640.174.071.177.020,5.434.058.521.982.640,9.367.016.863.059.200,30.844.476.730.898.500,1,0
38.420.671.298.580.000,30.476.091.279.732.500,56.182.689.622.421.400,14.182.812.950.444.700,0,0
38.996.012.574.911.500,18.180.846.566.694.900,-3.026.256.959.279.820,4.754.073.920.394.250,0,0
3.095.579.091.934.350,8.591.038.820.282.040,41.483.621.279.355.400,4.561.841.606.536.250,0,0
38.798.675.994.686.900,7.141.191.409.249.150,54.375.798.149.715.600,12.957.606.570.908.600,1,0
16.002.493.646.319.400,19.623.428.168.785.500,8.196.689.426.139.240,5.682.605.855.804.310,1,0
2.335.209.632.818.590,6.900.753.541.887.970,5.516.966.920.676.340,5.347.538.248.461.600,0,0
7.562.136.139.501.760,3.903.764.460.469.530,409.896.020.616.901,8.211.027.826.864.170,2,0
4.585.230.088.818.900,4.157.748.009.896.510,8.874.103.901.607.170,19.217.614.826.978.500,4,0
28.924.477.197.265.400,4.691.774.960.927.710,5.726.377.178.557.510,6.162.444.672.237.810,1,0
9.000.831.830.164.800,3.677.085.081.275.430,6.922.712.918.940.320,44.436.584.851.070.700,0,0
11.613.896.020.052.500,10.061.997.722.259.000,25.745.894.166.361.300,4.616.713.052.396.350,0,0
9.559.188.289.553.190,30.963.181.000.284.500,6.224.192.452.528.980,349.862.272.376.091,1,0
31.396.671.737.735.200,6.637.343.606.939.380,4.795.564.393.501.260,7.698.016.059.762.910,1,0
8.884.036.723.086.810,6.657.844.014.688.700,13.956.931.904.919.000,5.791.416.221.632.600,1,0
60.294.287.647.946.100,28.622.430.723.999.400,4.714.993.355.207.990,13.216.931.287.387.400,4,0
8.267.073.597.414.870,460.102.626.557.688,24.219.651.020.007.500,4.264.782.444.743.090,1,0
9.840.131.632.104.640,19.344.722.801.193.700,7.338.756.157.346.420,6.516.067.893.088.570,0,0
28.840.543.781.874.500,21.037.208.152.983.500,1.957.364.080.034.850,5.172.610.915.342.410,0,0
961.135.485.407.593,23.047.088.406.607.400,10.081.148.642.358.400,2.932.543.485.899.130,1,0
3.894.818.949.024.200,8.967.465.499.077.440,117.988.208.474.421,11.991.555.465.360.700,1,0
3.855.119.047.369.220,2.107.066.650.749.060,2.735.537.222.439.780,11.248.267.578.172.300,1,0
3.403.871.042.545.050,2.275.338.769.364.630,3.362.365.283.142.170,9.582.665.350.204.380,1,0
5.414.076.073.475.850,2.796.014.326.451.310,5.174.927.864.968.030,18.406.932.647.045.000,3,0
1.541.450.431.784.870,127.408.071.695.429,5.718.963.463.672.610,4.818.215.676.676.490,0,0
5.537.114.853.580.110,6.392.628.831.813.620,7.434.048.180.538.470,19.138.053.289.176.700,2,0
541.704.812.410.004,7.514.295.317.758.650,4.243.421.066.441.670,1.805.930.876.502.730,0,0
76.190.181.260.487,13.420.242.632.635.000,6.011.997.379.496.710,6.261.074.289.555.350,0,0
8.336.499.619.375.850,6.447.567.265.900.920,16.234.268.951.696.100,6.568.702.501.659.030,0,0
44.044.135.031.242.400,3.396.606.204.814.420,712.234.181.160.371,17.106.490.501.038.900,3,1
30.233.324.935.149.300,707.947.826.701.189,33.718.654.343.559,7.863.449.598.454.530,2,0
25.933.489.731.709.400,55.742.474.467.014.200,4.918.674.724.585.980,5.586.851.169.052.480,3,1
19.462.383.670.487.100,25.602.117.306.151.300,19.007.143.287.718.300,6.065.707.934.043.160,0,0
5.764.758.219.902.480,6.508.279.504.893.280,886.343.901.803.692,3.429.356.185.197.390,1,0
34.244.797.883.471.300,11.627.368.029.288.000,1.099.227.717.793.830,7.690.340.195.940.890,2,1
27.024.769.213.078.300,5.364.103.830.800.300,512.678.558.713.211,5.679.894.297.956.620,3,1
9.664.173.858.664.070,4.371.481.050.450.340,16.994.332.039.345.900,41.113.584.330.000.600,0,0
5.577.088.262.500.430,26.787.358.281.744.000,4.850.993.523.037.420,17.182.437.178.018.400,3,0
3.472.770.390.305.070,6.040.049.977.395.000,6.268.025.837.905.020,9.453.631.353.693.680,2,0
580.467.600.993.696,8.713.335.923.402.820,18.537.895.362.494.500,1.657.146.080.820.740,1,0
1.391.967.013.456.950,9.989.046.997.630.760,8.593.379.747.669.550,46.146.900.504.397.100,0,0
4.440.437.492.022.020,6.077.627.687.434.240,8.466.817.794.322.450,17.002.404.706.046.400,5,0
6.262.343.214.210.630,40.470.587.432.917.000,6.717.344.367.048.400,11.410.326.376.455.600,2,1
48.889.783.179.245.100,2.252.071.002.162.010,3.776.755.886.873.950,19.138.695.392.387.500,0,1
40.177.880.065.432.400,25.709.608.939.511.100,427.632.500.057.587,13.325.771.819.829.200,0,0
9.938.483.888.996.980,4.794.549.781.497.650,4.979.747.173.055.460,3.387.059.073.711.880,0,0
880.314.762.148.927,3.672.777.012.807.090,10.965.016.699.179.200,5.080.324.584.954.600,0,0
6.234.059.581.594.400,9.138.145.226.249.440,10.456.759.272.549.700,1.143.611.563.911.570,0,0
5.693.773.611.822.820,3.682.954.676.557.090,7.207.860.852.551.900,17.757.900.852.070.000,4,1
6.206.604.798.245.840,3.734.445.911.454.350,6.540.179.344.401.830,10.796.090.265.022.200,3,0
20.131.210.782.243.300,3.835.345.124.339.760,29.609.829.599.607.300,46.312.265.723.262.000,2,0
3.951.377.432.643.180,8.366.202.103.676.580,1.809.591.660.389.650,15.468.845.197.291.800,0,0
3.945.953.289.089.930,6.507.883.208.469.010,6.925.406.714.916.390,4.060.762.405.092.550,1,0
47.554.603.748.682.600,61.416.885.031.889.200,8.022.379.952.029.550,19.321.608.198.142.300,3,1
54.302.458.395.766.300,3.341.430.223.838.620,74.575.743.659.702.200,1.745.813.195.607.130,3,1
2.277.497.361.032.090,8.179.041.768.324.390,8.871.205.540.891.470,40.202.031.284.615.300,2,0
9.640.288.471.655.130,38.363.861.355.701.100,-19.873.400.585.365.200,6.547.627.514.412.400,0,0
909.454.610.937.242,8.707.971.723.381.130,3.197.164.844.499.530,5.174.471.521.389.080,0,0
7.221.432.354.559.050,5.127.498.997.939.290,5.215.882.754.930.570,6.405.779.181.680.850,3,0
5.333.866.287.653.620,3.982.502.348.634.120,8.707.563.844.390.580,17.490.553.241.630.400,4,1
8.699.691.596.476.840,4.971.672.807.176.850,19.793.396.716.478.600,5.374.731.116.260.110,1,0
13.065.234.382.346.200,667.415.530.533.831,15.683.815.884.922.300,6.173.783.280.905.750,1,0
790.509.794.274.885,1.276.542.651.789.730,41.654.523.436.961.100,6.370.001.484.036.820,0,0
1.248.208.139.668.480,8.715.518.564.582.470,25.495.535.003.984.500,568.150.181.894.693,0,0
7.942.106.625.494.050,44.673.952.531.139.200,3.227.114.954.731.010,4.068.423.907.897.340,3,0
27.576.756.825.135.600,34.296.651.970.007.800,4.623.741.802.498.200,6.527.269.513.971.430,0,1
877.090.581.018.189,1.382.455.656.340.570,6.142.919.027.264.400,567.984.003.582.637,0,0
9.440.420.938.253.970,4.394.653.743.584.420,5.357.511.705.017.150,3.206.340.793.426.910,1,0
14.879.596.940.511.500,49.632.277.128.437.800,2.169.583.148.037.560,3.910.176.477.118.000,1,1
46.267.560.506.539.300,4.036.466.944.934.770,8.650.052.239.465.110,1.987.888.327.556.570,6,1
9.809.873.781.626.850,6.786.600.938.268.970,33.162.036.489.969.500,5.876.187.817.972.080,0,0
4.834.074.359.731.460,420.896.528.759.226,884.701.860.269.139,18.246.346.782.035.500,3,0
8.635.475.225.145.450,9.614.175.778.465.730,10.300.916.703.611.200,5.815.257.504.341.500,0,0
5.887.315.221.313.190,5.992.775.178.235.910,8.555.693.620.016.560,15.214.012.030.462.700,3,1
3.753.299.079.196.010,8.074.779.356.519.080,26.994.239.796.308.200,1.267.685.086.406.120,1,0
2.857.835.555.258.700,10.935.590.310.947.800,8.912.661.473.220.650,587.775.489.760.604,0,0
20.322.309.108.608.700,3.972.912.929.459.050,3.279.711.341.718.230,5.828.640.219.323.460,1,0
7.617.981.913.776.970,3.368.477.014.471.520,33.707.384.378.233.200,6.331.134.076.242.570,0,0
3.865.405.068.230.270,5.694.823.881.365.910,7.907.291.122.790.520,1.252.921.248.851.130,2,0
5.112.754.622.007.510,8.611.135.200.614.250,21.712.908.344.059.500,19.922.702.936.157.900,1,0
4.923.254.800.011.810,7.833.821.776.200.660,824.780.320.003.146,19.307.369.657.621.800,0,0
57.727.902.923.313.100,7.257.479.804.471.070,8.047.278.688.986.160,17.779.453.430.006.300,0,0
8.655.771.456.245.520,8.503.177.081.575.980,8.553.093.800.294.990,48.985.208.454.929.800,0,0
9.807.393.435.834.290,21.285.008.603.835.700,11.697.779.268.800.400,40.781.194.204.034.200,0,0
40.758.420.857.381.600,6.687.532.544.498.130,5.734.711.185.579.090,14.070.795.350.374.100,1,1
827.518.922.106.303,5.428.781.323.608.050,2.537.780.612.571.170,5.197.042.589.670.460,0,0
7.645.277.946.547.170,8.328.935.948.872.290,10.200.183.402.592.900,6.206.859.517.903.690,0,0
57.352.895.145.557.300,12.508.890.983.640.300,19.723.958.760.380.300,15.111.140.863.572.700,1,0
9.560.471.436.119.330,12.978.296.572.261.100,1.382.346.065.311.880,6.848.116.969.814.960,0,0
2.004.745.155.284.020,55.681.836.027.830.700,30.027.556.232.085.700,5.477.697.429.902.300,0,0
1.092.642.103.096.210,9.463.786.533.583.700,43.640.023.615.965.500,5.473.713.815.501.880,1,0
8.539.619.669.554.220,41.499.775.837.075.400,19.444.256.482.469.000,49.313.517.452.287.000,1,0
4.391.498.166.337.480,32.694.210.025.469.400,6.341.209.912.662.310,174.841.124.214.627,2,1
8.469.688.542.070.600,6.066.893.231.978.850,227.252.779.472.726,4.888.184.899.520.640,3,0
8.930.902.051.954.140,930.448.600.545.031,2.010.873.618.585.470,6.024.414.080.216.350,0,0
6.245.759.361.907.140,8.369.278.328.446.230,22.190.677.525.245.200,499.311.601.628.002,0,0
8.834.647.629.860.600,9.954.836.107.332.190,12.732.886.045.021.100,5.776.667.332.856.400,0,0
44.831.905.536.942.200,2.256.858.320.237.700,2.386.637.699.589.510,17.690.960.731.367.200,0,0
5.104.324.890.042.320,11.285.814.471.276.200,1.375.490.239.193.990,20.114.234.608.139.300,1,0
62.659.251.109.321.000,60.946.776.336.662.200,70.471.757.121.070.500,10.927.371.025.715.500,1,0
9.263.826.067.300.860,8.205.764.393.338.490,22.680.300.874.315.300,6.218.219.873.634.550,0,0
1.911.609.442.976.400,28.524.434.230.676.600,6.937.973.636.240.990,41.663.955.091.921.900,0,0
4.768.434.683.178.170,23.921.108.803.421.800,4.310.241.935.249.060,19.278.195.297.252.900,2,1
6.877.220.424.305.600,7.869.757.993.812.000,2.555.879.088.112.780,7.260.612.347.384.560,1,0
7.227.069.576.982.280,5.638.185.385.323.150,4.624.373.209.891.810,5.902.298.182.584.450,1,0
692.532.431.537.108,3.693.826.475.825.850,5.400.207.191.907.290,8.072.961.146.693.320,3,0
13.443.512.940.812.100,5.058.092.225.923.290,20.000.491.181.754.900,4.702.143.455.041.390,2,0
2.993.955.883.716.810,5.603.486.743.503.230,5.781.889.411.977.760,839.952.540.298.341,2,0
3.587.155.254.170.130,7.286.151.567.927.760,405.023.252.169.536,9.710.403.807.078.350,1,1
804.437.207.679.505,3.548.457.234.306.580,21.262.270.870.873.400,5.315.100.069.167.590,1,0
27.875.987.241.455.300,6.126.843.446.746.070,477.960.425.193.548,5.522.039.934.755.730,1,0
